CPF,NOME,DATA DE NASCIMENTO,RUA,BAIRRO,CIDADE,ESTADO,TELEFONE,EMAIL,PESQUISA,CANAL DE ATEDIMENTO,MÊS,CARGO,ATENDENTE,RENDA
205.967.813-77,Ana Cecília Pastor,1990-10-26,Esplanada de Montenegro,Vila Califórnia,Casa Grande do Campo,Acre,+55 25 98035 5093,esousa@example.net,Bom,Chat,7,Mãe social,6,9356
794.031.652-43,Davi Luiz da Costa,1950-08-12,"Residencial de Monteiro, 627",União,Borges de Cavalcante,Bahia,+55 29 9 5035 8891,hsiqueira@example.net,Ótimo,Chat,5,Jornaleiro,1,2210
437.968.150-57,Valentina Alves,1981-11-01,Trevo Agatha da Conceição,Nova Gameleira,Cardoso,Piauí,+55 (63) 92299 6775,lcostela@example.net,Ruim,Chat,9,Naturólogo,4,3017
815.609.274-02,Danilo Cunha,1991-04-03,"Viaduto de Rodrigues, 28",Funcionários,Alves,Paraná,+55 27 94788 1955,manuella89@example.net,Ótimo,Email,1,Ortodontista,10,8650
937.206.184-04,Danilo Rios,1986-07-03,"Vereda de Campos, 29",Estoril,Guerra,Ceará,+55 (74) 92307 0348,davipimenta@example.com,Ótimo,Email,3,Escoteiro,7,7214
712.435.896-55,Sra. Ágatha Casa Grande,1992-07-08,"Feira de Santos, 63",Vila Copasa,Câmara Verde,Amazonas,+55 98 9 4684 6422,pedrocasa-grande@example.net,Bom,Call,11,Endodontista,1,3712
863.054.291-89,Benjamin Peixoto,1944-12-25,"Sítio de Ribeiro, 89",Aeroporto,Santos da Prata,Paraná,+55 (15) 97402-7602,maria-juliacamara@example.net,Ruim,Chat,11,Neonatologista,7,6714
809.174.253-32,Sr. Luiz Otávio Fonseca,1983-01-05,"Viaduto de Barros, 50",Coqueiros,Pacheco,Amapá,+55 95 9 1286-3517,fsilva@example.com,Ruim,Email,10,Presidente da República,8,3908
456.972.803-00,Maria Helena Costela,1993-08-12,"Pátio Carolina Garcia, 7",Canadá,Nunes de Goiás,Pernambuco,+55 (11) 9 9142-2155,juliamendonca@example.org,Regular,Chat,2,Psicólogo,9,5267
076.349.815-75,Lucas Gabriel Lopes,1975-10-27,"Núcleo Duarte, 62",Maria Helena,Sales,Acre,+55 (69) 92077-2982,castrojoao-vitor@example.net,Ótimo,Chat,2,Profissional de linguística,2,5009
276.594.130-07,Bruna Fonseca,2003-11-06,"Loteamento Pedro Miguel Caldeira, 4",Alta Tensão 1ª Seção,Carvalho do Campo,Rio de Janeiro,+55 (26) 90405-3814,osilveira@example.org,Regular,Call,6,Arrumadeira,2,8831
169.083.745-48,Anthony Gabriel Nogueira,1979-03-01,Via de Rezende,Ventosa,Cassiano,Maranhão,+55 (96) 93149 5280,carlos-eduardo17@example.org,Péssimo,Email,3,Pedreiro,7,4776
684.201.375-53,Ísis Monteiro,2004-06-06,"Largo Moura, 94",Novo Santa Cecilia,Nogueira,Roraima,+55 (032) 95865-4738,gustavo-henriquegomes@example.org,Regular,Call,4,Assessor de imprensa,6,1785
136.298.407-87,Maria Clara Gonçalves,1977-04-23,"Estrada Marques, 176",Jardim América,Monteiro de Minas,Pará,+55 33 93607-9570,moreirakamilly@example.net,Regular,Email,2,Cartazeiro,3,3170
610.243.798-50,Dra. Zoe Teixeira,1956-12-27,"Trevo Sampaio, 53",Virgínia,Aragão da Praia,Santa Catarina,+55 58 9 9748 0573,mathiassa@example.com,Ruim,Email,8,Deputado,7,6368
430.781.926-87,Camila Rios,1990-07-25,"Feira de Cunha, 57",Mantiqueira,Guerra,Mato Grosso,+55 63 9 4948-4557,asafepinto@example.org,Bom,Call,3,Almoxarife,6,8053
253.098.416-60,Gael Rodrigues,1999-11-15,"Feira Matheus Brito, 19",Vila São Gabriel Jacui,Viana,Mato Grosso do Sul,+55 (54) 9 7649 1205,carlos-eduardosiqueira@example.net,Regular,Call,4,Bailarina,2,5860
147.092.385-88,Rael Sousa,1999-04-14,"Estação Gael Henrique Brito, 24",Pantanal,Pinto,São Paulo,+55 (05) 92020-6862,asa@example.com,Regular,Chat,3,Engenheiro de produção agroindustrial,9,4253
794.821.653-73,Leonardo da Cunha,1965-02-15,"Vila de Moura, 1",Miramar,Barbosa do Galho,Minas Gerais,+55 (32) 98008 3974,marcos-vinicius67@example.com,Ruim,Chat,8,Técnico em radiologia,6,9324
736.025.498-10,Sr. Benício Caldeira,1982-12-28,"Setor Mendes, 86",Varzea Da Palma,Albuquerque,Mato Grosso do Sul,+55 96 9 2355-2572,fferreira@example.net,Ruim,Chat,7,Agente de combate à endemias,2,7679
318.259.764-73,Raquel Pereira,1964-01-18,"Conjunto Asafe Rezende, 50",Vila Suzana Segunda Seção,Brito,Sergipe,+55 (019) 99217-4246,mouravalentina@example.org,Bom,Chat,8,Cientista social,9,5443
390.628.514-60,Ísis Andrade,1979-09-03,"Lago João Felipe Pimenta, 17",Boa Viagem,Ferreira do Campo,Santa Catarina,+55 (098) 90329-0408,maria-luizarezende@example.org,Ótimo,Call,9,Alfaiate,1,8776
496.213.087-04,Pedro Lucas Novaes,1973-04-14,"Vereda Yuri Silva, 50",Lagoinha Leblon,da Mata,Maranhão,+55 (65) 9 3987-4836,umoura@example.com,Péssimo,Call,8,Leiteiro,8,5798
814.026.937-96,Maria Julia Rios,1993-11-11,"Estrada Eduarda Mendes, 2",Nova Pampulha,Moura da Prata,Amapá,+55 (23) 91246-2802,bentoviana@example.net,Ruim,Call,12,Cadista,7,3828
847.061.352-90,Dr. Pedro Abreu,1985-08-04,"Travessa Porto, 42",Vila Antena,Cunha,Bahia,+55 85 92585-0638,ofreitas@example.org,Bom,Chat,4,Mototaxista,1,7749
925.076.138-40,Sr. Kevin Fernandes,1948-04-21,"Setor Farias, 56",Santa Rita De Cássia,Araújo de Castro,Ceará,+55 (20) 9 4394 4693,psilveira@example.org,Ótimo,Email,4,Endocrinologista,10,5279
238.576.401-62,Larissa Costela,1953-04-27,"Condomínio Vitória Andrade, 39",Vila Nossa Senhora Do Rosário,Souza da Serra,Santa Catarina,+55 (48) 9 6460 1149,teixeiradaniel@example.org,Bom,Call,10,Atleta de nado sincronizado,1,3487
593.042.671-61,Dra. Agatha da Mota,1946-12-11,"Aeroporto Pimenta, 174",Vila Nova Cachoeirinha 3ª Seção,Freitas,Goiás,+55 (00) 97356 8055,maya68@example.net,Regular,Email,7,Boticário,5,7900
172.839.654-91,Bruna Sá,1966-04-21,"Condomínio de Pinto, 94",Primeiro De Maio,Marques,Espírito Santo,+55 38 9 0132-3490,beatrizgoncalves@example.org,Péssimo,Call,10,Senador,5,8001
691.280.753-40,Benjamin Viana,2005-12-30,"Favela Maria Clara Fogaça, 82",Minas Caixa,Gomes do Oeste,Santa Catarina,+55 (08) 98230-6197,aazevedo@example.net,Ruim,Call,7,Engenheiro físico,10,4702
915.468.073-57,Ísis Fogaça,1992-04-23,Residencial Macedo,Cônego Pinheiro 2ª Seção,Fernandes,Maranhão,+55 (79) 90372-8940,daviabreu@example.org,Ruim,Call,11,Engenheiro de horticultura,10,6096
683.459.201-60,Maria Abreu,1979-10-24,"Trevo José Pedro Duarte, 150",Santa Inês,Sousa,Bahia,+55 (026) 97374 0220,ravi-luccada-mata@example.net,Ótimo,Email,7,Militar do Exército,8,3717
123.687.540-08,Dr. Benicio Carvalho,1978-07-06,Campo Oliveira,Casa Branca,Ferreira,Piauí,+55 89 9 1188-6949,juan82@example.com,Ótimo,Call,12,Engenheiro mecânico,7,4313
387.261.905-59,Vitor Hugo Vieira,1999-11-12,"Viaduto Beatriz Casa Grande, 95",Vila Rica,Monteiro,Tocantins,+55 (057) 93024-0325,caio67@example.net,Péssimo,Email,7,Timoneiro,5,4067
908.236.541-33,Emanuel Viana,2004-06-06,"Rodovia de Teixeira, 7",Ribeiro De Abreu,Moraes de Minas,Bahia,+55 (17) 95418 1142,marina09@example.net,Bom,Call,4,Perfusionista,8,7903
802.956.147-49,Dr. Gabriel Jesus,1959-12-09,"Sítio de Porto, 4",Alpes,Cunha,Maranhão,+55 (065) 91449-1515,maria-helenamoura@example.com,Bom,Call,5,Personal trainer,8,8304
509.268.473-92,Marcos Vinicius Novaes,1945-12-04,"Fazenda Alexandre Cardoso, 888",Vila Sesc,Jesus,Paraná,+55 35 91553-3446,urodrigues@example.net,Ótimo,Call,11,Produtor de multimídia,2,5730
205.948.137-60,Bento da Mata,1945-09-16,Distrito Araújo,Taquaril,Fogaça Paulista,Amapá,+55 (09) 96110 0479,jnovaes@example.com,Ótimo,Call,6,Argumentista,4,6685
253.607.498-65,Vicente Leão,1990-04-30,"Colônia Guerra, 46",Copacabana,Carvalho da Prata,Maranhão,+55 (57) 92653 3792,luigiabreu@example.com,Ótimo,Call,12,Figurinista,5,3657
507.491.836-75,Sra. Maria Julia Andrade,1966-02-15,"Colônia Olivia da Cunha, 868",Miramar,da Mota das Flores,Minas Gerais,+55 28 97305 4140,alicepinto@example.com,Péssimo,Call,1,Astrofísico,8,8528
086.153.274-08,Dra. Eduarda Azevedo,1981-01-10,"Sítio Guilherme Sá, 2",Alta Tensão 2ª Seção,das Neves,Mato Grosso do Sul,+55 72 94930-3214,lda-mata@example.org,Ruim,Email,7,Chapeiro,6,7495
158.639.420-70,Marcos Vinicius Ramos,1962-07-02,"Largo Vinícius Costa, 68",Nova Cintra,Caldeira,Pernambuco,+55 (27) 9 0411 3787,cmonteiro@example.net,Péssimo,Chat,2,Velejador,2,9048
067.185.923-40,Ísis Lima,1957-06-10,"Praia de Cavalcanti, 9",Eymard,Azevedo de Minas,Maranhão,+55 (28) 93613-8896,lduarte@example.net,Bom,Chat,12,Enólogo,5,3728
857.941.320-60,Amanda da Conceição,1997-09-25,"Trecho Yuri Gonçalves, 9",Manacas,Gomes,Rio de Janeiro,+55 (93) 9 7359 5629,oaparecida@example.org,Regular,Call,4,Ortesista,10,3865
158.397.260-95,Davi Pacheco,2006-12-03,"Trevo Pedro Santos, 99",Barão Homem De Melo 3ª Seção,da Cruz,Rondônia,+55 90 9 0566 6464,luisaduarte@example.com,Bom,Chat,5,Ferreiro,10,8616
564.381.290-89,Emilly Gomes,1987-11-22,"Distrito de Borges, 5",Nova Floresta,Rios,Mato Grosso do Sul,+55 98 98050-1545,mmontenegro@example.org,Péssimo,Email,11,Atuário,10,8665
295.716.803-03,Dra. Maria Helena Santos,1974-08-23,Esplanada Samuel Costela,São Geraldo,Silva Alegre,Rio de Janeiro,+55 (080) 92275-4655,mendesisabela@example.com,Ótimo,Email,7,Moldureiro,6,6442
683.012.597-95,Bianca Carvalho,2007-01-23,"Praça de Siqueira, 73",Esplanada,Pimenta do Galho,Rio de Janeiro,+55 11 91491 1720,da-pazaylla@example.net,Ruim,Call,2,Piloto de avião,8,5123
370.648.129-40,Anthony Correia,1947-06-20,"Travessa Silveira, 2",Cruzeiro,Correia,Minas Gerais,+55 (87) 92058-7485,claricesantos@example.net,Ótimo,Chat,3,Fotógrafo,5,5647
632.874.915-55,Luana Barbosa,1960-04-12,"Passarela Joana Borges, 73",Vila Sesc,Mendonça dos Dourados,Amazonas,+55 18 97685 3437,raul77@example.org,Ótimo,Call,10,Mergulhador,7,7545
065.814.397-20,Lívia Pastor,1953-01-16,"Área Silveira, 117",Vale Do Jatoba,Pastor,Pernambuco,+55 (12) 9 8559 9193,josuenovaes@example.net,Ruim,Chat,2,Taxidermista/Embalsamador,1,4958
904.158.376-93,Maria Júlia Cassiano,1949-01-29,"Largo Davi Lucca Pacheco, 9",São Jorge 2ª Seção,Marques do Campo,Roraima,+55 (58) 9 8374-2851,wmartins@example.org,Ótimo,Email,10,Gandula,10,7577
930.182.457-41,Eloah Correia,1975-07-24,"Loteamento Valentim Sá, 87",Aguas Claras,Cavalcante de Brito,Mato Grosso,+55 (93) 9 4348-7379,aragaorenan@example.com,Ótimo,Call,9,Massagista,2,9806
862.571.403-07,Joaquim Macedo,1965-09-14,Fazenda Davi Sá,Lourdes,Cardoso,Roraima,+55 (39) 92637 0502,alexandre67@example.com,Bom,Chat,7,Porteiro,3,1617
643.921.057-25,João Vitor Fogaça,1950-11-30,"Campo Levi Mendonça, 23",Independência,Correia,Amazonas,+55 (62) 9 6222 8353,hadassa05@example.net,Péssimo,Chat,10,Patologista oral,7,4983
804.512.769-49,Maria Vitória Melo,1999-02-13,"Praça Martins, 10",Atila De Paiva,da Cruz,Rio Grande do Sul,+55 (34) 9 6775-0651,josemoraes@example.org,Bom,Chat,6,Juiz de direito,9,8757
813.069.742-40,Ana Aragão,1980-05-08,"Trecho Moura, 88",Alto Barroca,Teixeira Verde,Mato Grosso do Sul,+55 41 99462 1513,rael81@example.net,Ruim,Call,12,Radiooperador de vôo,7,4054
327.415.890-97,Srta. Jade Câmara,1995-07-26,"Rua Diogo Costela, 95",Pantanal,Garcia de Goiás,Bahia,+55 44 98939 2046,alice85@example.org,Bom,Call,1,Figurinista,2,4839
657.403.289-00,Isabela Campos,1953-04-19,"Praça Guerra, 2",Cinquentenário,Montenegro,Rio Grande do Sul,+55 (03) 92307-6288,da-cunhaalicia@example.net,Ótimo,Email,5,Tecnólogo em geoprocessamento,7,1659
249.160.387-03,José Gonçalves,1969-05-20,"Ladeira Peixoto, 37",Braúnas,Rezende,Santa Catarina,+55 65 9 9097-0332,correiaanthony@example.org,Ótimo,Chat,7,Ufólogo,9,9638
472.589.130-41,Luara Moura,1967-05-31,Vila Vitória Peixoto,Vitoria,Santos,Minas Gerais,+55 (054) 96239-4388,nathan98@example.com,Péssimo,Chat,9,Restaurador,5,7138
945.127.860-58,Davi Lucas Duarte,1982-02-22,"Chácara de Albuquerque, 23",Vista Do Sol,Marques da Serra,Minas Gerais,+55 (039) 95452 9443,thales29@example.com,Bom,Call,3,Meteorologista,8,2848
462.307.519-25,Benicio da Luz,1958-08-30,"Residencial de Pacheco, 3",Nossa Senhora Do Rosário,Ferreira de Barbosa,Roraima,+55 10 9 4131 4357,hmacedo@example.net,Regular,Chat,11,Dedetizador,8,4812
758.604.923-83,Yuri Moreira,1992-04-27,"Loteamento de Camargo, 54",Marieta 3ª Seção,Nascimento Verde,Goiás,+55 (98) 9 7923 9506,vgoncalves@example.org,Ruim,Email,11,Turismólogo,10,5298
401.823.597-60,Yan Pimenta,1960-10-15,"Colônia da Rocha, 9",Vila Santo Antônio Barroquinha,Nunes,Maranhão,+55 (14) 9 6878-4027,da-luzdiego@example.com,Bom,Call,1,Diretor de produção,6,5154
521.063.489-24,Aylla Rios,2005-09-15,"Jardim Nogueira, 355",Vila Nova Cachoeirinha 3ª Seção,Rodrigues,Espírito Santo,+55 (75) 96505-8632,lucas-gabrielaragao@example.net,Ótimo,Chat,5,Agente funerário,9,6937
724.561.908-58,Maria Alice Freitas,2002-04-30,"Jardim Cardoso, 955",Ipiranga,Azevedo da Praia,Rondônia,+55 72 90506-9415,castrocarolina@example.net,Bom,Call,4,Coronel,3,1798
901.584.762-20,Asafe da Costa,1992-03-05,"Distrito de Vargas, 83",Califórnia,Aparecida,Piauí,+55 (54) 92881-7989,valentinanovais@example.com,Bom,Chat,4,Técnico em edificações,3,3430
216.537.894-09,Heloisa da Luz,1992-12-13,Jardim Melo,Nossa Senhora Aparecida,das Neves de Cassiano,Espírito Santo,+55 (47) 9 8889 0222,castrosophia@example.net,Péssimo,Chat,10,Ferreiro,6,2752
450.673.928-00,Sr. Isaac Albuquerque,1987-02-28,Lago Calebe da Paz,Ernesto Nascimento,Dias de da Rocha,Mato Grosso do Sul,+55 95 95791 2768,moraesarthur-gabriel@example.com,Péssimo,Email,12,Classificador contábil,10,6255
241.635.798-00,Srta. Daniela Farias,1952-05-18,"Esplanada Barbosa, 784",Jardim Dos Comerciarios,Dias das Pedras,Tocantins,+55 17 9 5603-3670,csales@example.org,Ótimo,Chat,6,Arqueólogo,7,6119
965.378.120-03,Dra. Rebeca Guerra,1974-04-02,"Fazenda Sampaio, 61",Vila São Gabriel Jacui,da Costa,Mato Grosso do Sul,+55 22 91068-0345,joao-miguel05@example.org,Ótimo,Call,5,Espeleologista,5,8225
048.591.326-70,Maria Julia Melo,1987-12-22,Setor Duarte,Saudade,Guerra de Freitas,São Paulo,+55 (19) 96607 8162,luiz-gustavoaraujo@example.net,Ruim,Call,6,Guarda ou policial rodoviário,6,4343
907.612.483-31,Cecilia Novais,1967-08-24,"Área Pereira, 37",Vila Jardim São José,Melo dos Dourados,Sergipe,+55 28 91331-4176,guerralucas-gabriel@example.org,Ruim,Email,7,Ortopedista,8,3948
734.692.510-61,João Guilherme Cunha,1985-12-16,"Aeroporto de da Cruz, 32",Nazare,Pinto,Roraima,+55 54 9 2321 7613,larissa27@example.org,Regular,Call,12,Engenheiro de processos,6,7759
594.621.738-00,Francisco Garcia,1975-09-28,"Jardim Garcia, 3",Pindorama,Sampaio,Santa Catarina,+55 (34) 99143 0799,silveirabeatriz@example.org,Regular,Email,12,Assistente social,8,7912
251.079.463-99,Aylla Vasconcelos,1956-03-27,"Distrito Luiz Fernando Guerra, 33",Vila Dos Anjos,da Mota,Tocantins,+55 (010) 98467 9119,davi-lucca86@example.org,Péssimo,Email,1,Dialoguista,5,2470
580.976.431-20,Maysa Casa Grande,1995-06-26,"Loteamento Davi Lucca da Mota, 67",Vila São Francisco,Câmara,Maranhão,+55 (51) 98598 1957,eporto@example.com,Ótimo,Call,7,Terapeuta ocupacional,10,1500
581.974.026-20,Sr. Levi Martins,1965-12-26,"Esplanada de da Cunha, 50",Bernadete,Souza,Pernambuco,+55 (18) 94247 0299,mouramelissa@example.org,Ótimo,Chat,10,Geriatra,7,6873
782.014.693-13,Rodrigo Abreu,1988-02-25,"Esplanada Daniela Cassiano, 82",Ouro Preto,Moreira Alegre,Santa Catarina,+55 (16) 9 9450-4117,gleao@example.org,Regular,Chat,4,Músico,8,3277
082.931.467-96,Ana Cecília da Rocha,1993-03-08,"Fazenda Mateus Cirino, 488",Bom Jesus,Albuquerque de Pereira,Piauí,+55 39 94616 3015,ryanrios@example.com,Ótimo,Email,6,Lutador de luta livre,8,3878
827.564.910-20,Arthur Sales,1948-10-31,"Estação Caleb Marques, 97",Vila Antena,da Luz,Espírito Santo,+55 78 9 3288 6038,ydas-neves@example.org,Regular,Chat,9,Atleta de nado sincronizado,2,5762
941.273.650-99,Ester Novais,1973-12-06,"Praça Arthur Gabriel Andrade, 101",Nossa Senhora Do Rosário,da Mota,Alagoas,+55 (85) 93487-1725,monteiroelisa@example.net,Ruim,Email,10,Assistente social,8,4551
492.856.370-00,Luna Pires,2002-03-01,"Núcleo Manuela Silveira, 50",Antonio Ribeiro De Abreu 1ª Seção,Moreira,Amazonas,+55 55 90431-5793,icassiano@example.net,Ótimo,Call,10,Lutador de karatê,2,7127
904.768.253-00,Luara Vasconcelos,1985-12-14,Largo Cirino,Alto Dos Pinheiros,Castro,Tocantins,+55 (043) 91700 8358,alexandreda-mota@example.org,Ótimo,Call,3,Astrólogo,3,2788
608.715.439-66,Thales Santos,1999-04-17,"Recanto de Oliveira, 592",Jardim Guanabara,Guerra,Maranhão,+55 87 90547-0848,ucastro@example.com,Ótimo,Call,7,Agrimensor,5,6194
160.837.954-00,Maria Liz Freitas,1967-09-12,"Conjunto Fonseca, 2",Vila Canto Do Sabiá,Cunha,Minas Gerais,+55 71 94748 8314,cauasiqueira@example.com,Ótimo,Call,8,Naturólogo,2,7545
192.836.540-05,Caroline Pires,1957-10-14,Feira Thiago Leão,São Sebastião,Lima,Tocantins,+55 (80) 90339-4544,zgarcia@example.com,Bom,Chat,11,Assistente de produção,3,7536
517.083.296-68,Felipe Garcia,1970-05-30,"Rodovia de Albuquerque, 754",Coração Eucarístico,Casa Grande,Piauí,+55 (90) 9 1872 8301,emonteiro@example.net,Ruim,Email,6,Desenhista,3,6562
597.134.862-00,Sophia Freitas,1967-06-21,"Recanto de Aparecida, 8",Atila De Paiva,Aparecida dos Dourados,Piauí,+55 47 97139 6428,valentinada-paz@example.com,Ótimo,Call,7,Engenheiro de segurança do trabalho,9,2108
342.708.615-17,Cecilia Aparecida,1992-10-28,"Jardim Paulo Aragão, 18",São Salvador,Castro,Amapá,+55 22 9 9943 6901,alexia28@example.org,Péssimo,Email,7,Editor de mesa de corte,5,8782
714.923.856-46,Srta. Ayla Pastor,1948-07-26,"Vereda da Cruz, 24",Caetano Furquim,Borges,Ceará,+55 76 9 2582 8331,alicia33@example.net,Bom,Email,3,Auxiliar de serviços gerais,7,5532
926.480.713-69,Maria Laura Pastor,1967-03-08,Esplanada de Albuquerque,Vila Bandeirantes,da Cunha Verde,Rio de Janeiro,+55 40 90629-3392,wcavalcante@example.org,Bom,Email,1,Geriatra,8,7544
159.784.026-20,Henry Gabriel Ferreira,1977-08-07,"Quadra de Costela, 1",Vila Mantiqueira,Melo de da Mata,Rondônia,+55 (73) 95375-9607,theo18@example.org,Regular,Call,11,Corretor da bolsa de valores,7,7979
530.496.827-10,Leandro Pastor,1958-04-09,"Parque de Cirino, 81",Vila Trinta E Um De Março,Nascimento,Pará,+55 18 9 7121-8154,isabellafernandes@example.com,Regular,Call,4,Astrônomo,1,3665
379.618.240-22,Cauê da Conceição,1991-05-14,"Recanto de Siqueira, 5",Baleia,Nogueira de Cassiano,Tocantins,+55 54 9 0142-1641,nicole27@example.org,Ruim,Call,2,Meredeira,9,4627
307.915.648-00,Dr. Alexandre Rodrigues,1994-01-05,"Favela de Garcia, 66",Alípio De Melo,Montenegro,Amazonas,+55 (003) 95639 8573,ana-luiza66@example.net,Regular,Call,8,Produtor de eventos,1,7298
153.970.628-12,Sr. Lucas Fonseca,1972-05-06,Rua Vieira,Vila Betânia,Freitas de Ramos,Roraima,+55 56 9 8414 8766,joaquimcassiano@example.com,Ótimo,Call,10,Montador de negativos,2,9952
564.813.297-28,Daniela Leão,2001-07-03,Praça de Jesus,Jardim Guanabara,Leão,Roraima,+55 (06) 9 5317-5260,yago35@example.net,Ótimo,Call,9,Jornalista,1,2766
472.910.683-04,Enzo Gabriel Sampaio,1951-11-25,"Esplanada Juan Sampaio, 7",Ribeiro De Abreu,Farias,Rio Grande do Sul,+55 (23) 96103-6955,peixotolara@example.net,Bom,Call,10,Artista/Técnico em espetáculos de diversões,4,3786
693.401.785-48,Paulo Guerra,2002-10-09,Largo Cunha,João Paulo Ii,da Mota do Amparo,Bahia,+55 34 9 1513-5165,joao-pedro90@example.com,Bom,Call,4,Engenheiro agrimensor,9,5968
487.930.621-50,Maitê Caldeira,1944-04-15,"Setor de Gomes, 25",Bom Jesus,Alves do Norte,Paraná,+55 (87) 9 6412-9530,mendesagatha@example.org,Ótimo,Chat,7,Torreiro/Torrista,3,8870
259.340.716-61,Arthur Abreu,1951-04-07,"Trecho de Cavalcante, 17",Capitão Eduardo,Fernandes das Flores,Espírito Santo,+55 (66) 94165 5100,britomariana@example.com,Regular,Email,12,Cientista político,10,2117
197.524.608-01,Letícia Nogueira,1979-03-07,"Travessa de Costela, 499",Vila Independencia 2ª Seção,Sá de Aparecida,Ceará,+55 60 9 5902 5620,pcarvalho@example.com,Bom,Call,12,Catador de carangueijos,1,4959
650.813.297-03,Heloísa Costela,1999-11-17,"Passarela Emanuelly Cunha, 150",São Francisco,Moura da Mata,Piauí,+55 (71) 9 7127-3610,hdias@example.com,Ótimo,Chat,11,Contábil,2,6556
742.109.586-11,Gustavo Henrique Borges,1944-06-24,"Condomínio de Lima, 42",Vila Nova,Ferreira,Piauí,+55 23 9 8213-7606,gael-henriquegoncalves@example.org,Ótimo,Email,7,Imunologista,5,5826
069.218.437-69,Mirella Teixeira,1968-09-09,"Jardim Yasmin Caldeira, 2",Madri,Cunha Grande,Rio Grande do Sul,+55 (091) 99578-6813,omoraes@example.org,Regular,Email,3,Lixeiro/Coletor de lixo,8,8569
835.679.021-21,Paulo Abreu,1958-03-08,"Morro Mariane Albuquerque, 75",Juliana,Rios de Castro,Espírito Santo,+55 82 95440 2621,alanapereira@example.org,Bom,Email,12,Gerente de inovações ou novos negócios,4,1613
360.725.198-30,Miguel Almeida,1965-05-03,"Quadra de Sales, 81",Jardim Leblon,Moura,Mato Grosso,+55 02 9 6179-4894,enrico14@example.net,Péssimo,Call,10,Guincheiro,4,4107
943.582.170-79,Zoe Santos,1990-03-12,"Morro Silva, 7",Vista Alegre,Novais de Goiás,Amapá,+55 (40) 97573 2309,pintohellena@example.org,Regular,Call,5,Carnavalesco,5,2794
185.729.643-55,Brenda Azevedo,1960-09-12,"Ladeira Benício Pinto, 18",Leticia,Cavalcante de Gonçalves,Rio Grande do Norte,+55 (093) 90794-0272,lara39@example.org,Ruim,Email,3,Grafologista,10,2448
521.740.963-07,Srta. Isabella Pinto,1992-12-18,"Aeroporto de Silva, 4",Nossa Senhora Aparecida,Andrade da Mata,Distrito Federal,+55 (29) 91520 3188,calebe86@example.net,Péssimo,Call,2,Luthier,5,8587
074.216.359-80,Larissa Cassiano,1995-08-15,"Condomínio Jesus, 57",Álvaro Camargos,Lopes da Praia,Tocantins,+55 70 91064 4681,vitoria02@example.net,Regular,Email,11,Massagista,2,8747
528.301.946-24,Cauã Correia,1965-09-05,"Lagoa de Silveira, 56",Leticia,Sales,Piauí,+55 (075) 91633-6044,lucas-gabrielrios@example.org,Ruim,Chat,2,Panificador/Padeiro,3,5993
869.254.170-20,Sra. Camila Aparecida,1987-03-12,"Vereda de Siqueira, 50",Monte Azul,Vargas do Galho,Maranhão,+55 09 94966 9986,pedro-lucaslopes@example.org,Regular,Email,10,Mergulhador,8,9259
356.027.918-68,Aurora Campos,1948-01-01,"Aeroporto de Camargo, 8",Santana Do Cafezal,Aragão,Goiás,+55 (071) 96741-6814,rafael68@example.org,Péssimo,Call,5,Armeiro,8,2756
870.462.953-10,Srta. Aylla Cavalcante,1987-11-17,"Viaduto Raul Monteiro, 15",Delta,Câmara Alegre,Paraná,+55 97 95973 0352,arthur-gabriel99@example.com,Regular,Email,10,Jogador de hóquei,7,5265
507.186.293-02,Gabriela Pacheco,1975-01-27,"Estrada Sá, 214",Vila Da Luz,Pimenta,Tocantins,+55 (046) 92963-7996,da-rochaevelyn@example.net,Bom,Email,9,Judoca,6,8223
179.620.548-67,João Pedro Sousa,1946-01-18,"Alameda Martins, 247",Conjunto Califórnia Ii,Santos dos Dourados,Rondônia,+55 (99) 99641 1447,apacheco@example.org,Regular,Call,9,Chefe de cozinha,2,2843
952.617.038-59,Ana Lívia Macedo,1985-09-07,Praça da Cunha,Vila São Rafael,Fonseca da Mata,Paraíba,+55 (030) 96034-1023,hellenamelo@example.org,Ruim,Chat,6,Penhorista,1,3810
541.703.628-53,Lucas Gabriel Ribeiro,1967-11-26,"Vila Albuquerque, 166",Fazendinha,Siqueira,Tocantins,+55 35 9 8204 6876,pereiralarissa@example.net,Bom,Chat,2,Diarista,10,7341
649.120.783-87,Rodrigo Rios,1988-05-30,"Vila Borges, 660",Nova Cintra,Siqueira de Goiás,Mato Grosso do Sul,+55 04 94951-9436,laura75@example.org,Ótimo,Call,5,Engenheiro naval,9,9758
069.512.873-68,Giovanna da Mota,1986-12-03,"Esplanada Aurora Freitas, 31",Santa Inês,da Paz,Maranhão,+55 78 96906-3503,tda-cunha@example.net,Péssimo,Email,1,Cantor,1,2303
035.429.178-50,Dr. Theodoro Aragão,1952-08-16,"Feira Fonseca, 83",Estrela Do Oriente,da Luz,São Paulo,+55 (59) 98053 7861,casa-grandebryan@example.org,Péssimo,Chat,6,Eletricista de automóveis,9,1599
450.837.912-50,Pietro Silveira,1970-06-14,"Conjunto de Azevedo, 547",Parque São Pedro,Costa,Espírito Santo,+55 (006) 94384-2931,machadoemanuella@example.org,Ótimo,Email,9,Dentista,5,9406
